"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P 14-2 U","14-2","#ffe9c6"
"PANTONE P 14-3 U","14-3","#ffe3b3"
"PANTONE P 14-4 U","14-4","#ffda9a"
"PANTONE P 14-5 U","14-5","#fed180"
"PANTONE P 14-6 U","14-6","#fdc863"
"PANTONE P 14-7 U","14-7","#fcbb3d"
"PANTONE P 14-8 U","14-8","#faaf04"
"PANTONE P 14-9 U","14-9","#f8e3c4"
"PANTONE P 14-10 U","14-10","#f5dbb0"
"PANTONE P 14-11 U","14-11","#f3d39c"
"PANTONE P 14-12 U","14-12","#efca84"
"PANTONE P 14-13 U","14-13","#ecc06e"
"PANTONE P 14-14 U","14-14","#e9b553"
"PANTONE P 14-15 U","14-15","#e4a832"
"PANTONE P 14-16 U","14-16","#de9e11"
"PANTONE P 15-1 U","15-1","#f6e8cf"
"PANTONE P 15-2 U","15-2","#f0dbb7"
"PANTONE P 15-3 U","15-3","#ebd0a2"
"PANTONE P 15-4 U","15-4","#e5c488"
"PANTONE P 15-5 U","15-5","#dfb770"
"PANTONE P 15-6 U","15-6","#d8ab53"
"PANTONE P 15-7 U","15-7","#cf9c35"
"PANTONE P 15-8 U","15-8","#c88f18"
"PANTONE P 15-9 U","15-9","#e7d1ad"
"PANTONE P 15-10 U","15-10","#e2c79a"
"PANTONE P 15-11 U","15-11","#dbbc83"
"PANTONE P 15-12 U","15-12","#d5b170"
"PANTONE P 15-13 U","15-13","#cda65c"
"PANTONE P 15-14 U","15-14","#c49947"
"PANTONE P 15-15 U","15-15","#bc8d31"
"PANTONE P 15-16 U","15-16","#b3811c"
"PANTONE P 16-1 U","16-1","#e6d4b8"
"PANTONE P 16-2 U","16-2","#dcc69f"
"PANTONE P 16-3 U","16-3","#d4b887"
"PANTONE P 16-4 U","16-4","#c9aa71"
"PANTONE P 16-5 U","16-5","#bf9d5b"
"PANTONE P 16-6 U","16-6","#b58f45"
"PANTONE P 16-7 U","16-7","#a87f31"
"PANTONE P 16-8 U","16-8","#9c721f"
"PANTONE P 16-9 U","16-9","#ece1cf"
"PANTONE P 16-10 U","16-10","#dfcdaf"
"PANTONE P 16-11 U","16-11","#d2bb93"
"PANTONE P 16-12 U","16-12","#c3a979"
"PANTONE P 16-13 U","16-13","#b8995e"
"PANTONE P 16-14 U","16-14","#a78747"
"PANTONE P 16-15 U","16-15","#977430"
"PANTONE P 16-16 U","16-16","#866421"
"PANTONE P 17-1 U","17-1","#ffead0"
"PANTONE P 17-2 U","17-2","#fee2bc"
"PANTONE P 17-3 U","17-3","#fedcab"
"PANTONE P 17-4 U","17-4","#fdd192"
"PANTONE P 17-5 U","17-5","#fdc97d"
"PANTONE P 17-6 U","17-6","#fbbe60"
"PANTONE P 17-7 U","17-7","#fab241"
"PANTONE P 17-8 U","17-8","#f7a211"
"PANTONE P 17-9 U","17-9","#f4d9b4"
"PANTONE P 17-10 U","17-10","#f4d4a6"
"PANTONE P 17-11 U","17-11","#f0c890"
"PANTONE P 17-12 U","17-12","#eec17e"
"PANTONE P 17-13 U","17-13","#ebb768"
"PANTONE P 17-14 U","17-14","#e6ac52"
"PANTONE P 17-15 U","17-15","#e2a137"
"PANTONE P 17-16 U","17-16","#dc9218"
"PANTONE P 18-1 U","18-1","#f3dfc4"
"PANTONE P 18-2 U","18-2","#edd2ac"
"PANTONE P 18-3 U","18-3","#e9c797"
"PANTONE P 18-4 U","18-4","#e2b97e"
"PANTONE P 18-5 U","18-5","#ddae68"
"PANTONE P 18-6 U","18-6","#d7a14e"
"PANTONE P 18-7 U","18-7","#d09438"
"PANTONE P 18-8 U","18-8","#c6851c"
"PANTONE P 18-9 U","18-9","#e5cba7"
"PANTONE P 18-10 U","18-10","#dfc092"
"PANTONE P 18-11 U","18-11","#d9b47c"
"PANTONE P 18-12 U","18-12","#d2a86a"
"PANTONE P 18-13 U","18-13","#c99b54"
"PANTONE P 18-14 U","18-14","#c08e41"
"PANTONE P 18-15 U","18-15","#ba8330"
"PANTONE P 18-16 U","18-16","#b1781f"
"PANTONE P 19-1 U","19-1","#dabe97"
"PANTONE P 19-2 U","19-2","#d1b283"
"PANTONE P 19-3 U","19-3","#c9a671"
"PANTONE P 19-4 U","19-4","#c29a60"
"PANTONE P 19-5 U","19-5","#b88e4d"
"PANTONE P 19-6 U","19-6","#ad813c"
"PANTONE P 19-7 U","19-7","#a3742d"
"PANTONE P 19-8 U","19-8","#9a6a21"
"PANTONE P 19-9 U","19-9","#e8d8c4"
"PANTONE P 19-10 U","19-10","#dac5a6"
"PANTONE P 19-11 U","19-11","#cdb28b"
"PANTONE P 19-12 U","19-12","#c1a273"
"PANTONE P 19-13 U","19-13","#b5915b"
"PANTONE P 19-14 U","19-14","#a47e43"
"PANTONE P 19-15 U","19-15","#956d30"
"PANTONE P 19-16 U","19-16","#855e22"
"PANTONE P 20-1 U","20-1","#fedcb4"
"PANTONE P 20-2 U","20-2","#fdd4a4"
"PANTONE P 20-3 U","20-3","#fccb90"
"PANTONE P 20-4 U","20-4","#fbc27c"
"PANTONE P 20-5 U","20-5","#faba68"
"PANTONE P 20-6 U","20-6","#f9af52"
"PANTONE P 20-7 U","20-7","#f7a238"
"PANTONE P 20-8 U","20-8","#f49519"
"PANTONE P 20-9 U","20-9","#f2cd9f"
"PANTONE P 20-10 U","20-10","#efc48e"
"PANTONE P 20-11 U","20-11","#ecba7e"
"PANTONE P 20-12 U","20-12","#eab26b"
"PANTONE P 20-13 U","20-13","#e6a759"
"PANTONE P 20-14 U","20-14","#e39d44"
"PANTONE P 20-15 U","20-15","#de9133"
"PANTONE P 20-16 U","20-16","#da861d"
"PANTONE P 21-1 U","21-1","#efd4b4"
"PANTONE P 21-2 U","21-2","#eac9a0"
"PANTONE P 21-3 U","21-3","#e5bc8a"
"PANTONE P 21-4 U","21-4","#e0af74"
"PANTONE P 21-5 U","21-5","#daa25c"
"PANTONE P 21-6 U","21-6","#d29546"
"PANTONE P 21-7 U","21-7","#cd8832"
"PANTONE P 21-8 U","21-8","#c57b1f"
"PANTONE P 21-9 U","21-9","#deba8c"
"PANTONE P 21-10 U","21-10","#d9af7b"
"PANTONE P 21-11 U","21-11","#d2a36b"
"PANTONE P 21-12 U","21-12","#cc9958"
"PANTONE P 21-13 U","21-13","#c58e47"
"PANTONE P 21-14 U","21-14","#be8338"
"PANTONE P 21-15 U","21-15","#b8782c"
"PANTONE P 21-16 U","21-16","#b37121"
"PANTONE P 22-1 U","22-1","#e7d3bb"
"PANTONE P 22-2 U","22-2","#dfc3a2"
"PANTONE P 22-3 U","22-3","#d6b48a"
"PANTONE P 22-4 U","22-4","#cba373"
"PANTONE P 22-5 U","22-5","#c0935c"
"PANTONE P 22-6 U","22-6","#b78546"
"PANTONE P 22-7 U","22-7","#ac7634"
"PANTONE P 22-8 U","22-8","#9d6522"
"PANTONE P 22-9 U","22-9","#dfcab2"
"PANTONE P 22-10 U","22-10","#d5b998"
"PANTONE P 22-11 U","22-11","#c9a981"
"PANTONE P 22-12 U","22-12","#be996b"
"PANTONE P 22-13 U","22-13","#b28956"
"PANTONE P 22-14 U","22-14","#a37842"
"PANTONE P 22-15 U","22-15","#946830"
"PANTONE P 22-16 U","22-16","#845823"
"PANTONE P 23-1 U","23-1","#e1d5c8"
"PANTONE P 23-2 U","23-2","#dbcbbb"
"PANTONE P 23-3 U","23-3","#d2c0af"
"PANTONE P 23-4 U","23-4","#cab49f"
"PANTONE P 23-5 U","23-5","#c6ae97"
"PANTONE P 23-6 U","23-6","#c0a78e"
"PANTONE P 23-7 U","23-7","#ba9c7f"
"PANTONE P 23-8 U","23-8","#b49577"
"PANTONE P 23-9 U","23-9","#a98d71"
"PANTONE P 23-10 U","23-10","#9f846a"
"PANTONE P 23-11 U","23-11","#957d65"
"PANTONE P 23-12 U","23-12","#8d7660"
"PANTONE P 23-13 U","23-13","#846f5b"
"PANTONE P 23-14 U","23-14","#7a6654"
"PANTONE P 23-15 U","23-15","#6f5e4e"
"PANTONE P 23-16 U","23-16","#645647"
"PANTONE P 24-1 U","24-1","#fdd7b2"
"PANTONE P 24-2 U","24-2","#fccfa0"
"PANTONE P 24-3 U","24-3","#fac48b"
"PANTONE P 24-4 U","24-4","#f9b978"
"PANTONE P 24-5 U","24-5","#f8ae61"
"PANTONE P 24-6 U","24-6","#f6a14c"
"PANTONE P 24-7 U","24-7","#f39132"
"PANTONE P 24-8 U","24-8","#f1861f"
"PANTONE P 24-9 U","24-9","#fbecdd"
"PANTONE P 24-10 U","24-10","#f8e0c7"
"PANTONE P 24-11 U","24-11","#f3d2ad"
"PANTONE P 24-12 U","24-12","#f0c294"
"PANTONE P 24-13 U","24-13","#ebb277"
"PANTONE P 24-14 U","24-14","#e4a059"
"PANTONE P 24-15 U","24-15","#de8c3c"
"PANTONE P 24-16 U","24-16","#d77921"
"PANTONE P 25-1 U","25-1","#eeceae"
"PANTONE P 25-2 U","25-2","#e9c29a"
"PANTONE P 25-3 U","25-3","#e4b583"
"PANTONE P 25-4 U","25-4","#dea76e"
"PANTONE P 25-5 U","25-5","#d89a58"
"PANTONE P 25-6 U","25-6","#d18b45"
"PANTONE P 25-7 U","25-7","#c97c32"
"PANTONE P 25-8 U","25-8","#c37022"
"PANTONE P 25-9 U","25-9","#e1bb94"
"PANTONE P 25-10 U","25-10","#dbae80"
"PANTONE P 25-11 U","25-11","#d4a16e"
"PANTONE P 25-12 U","25-12","#cd965b"
"PANTONE P 25-13 U","25-13","#c6894a"
"PANTONE P 25-14 U","25-14","#bf7d3b"
"PANTONE P 25-15 U","25-15","#b8712f"
"PANTONE P 25-16 U","25-16","#b16723"
"PANTONE P 26-1 U","26-1","#e1c6a9"
"PANTONE P 26-2 U","26-2","#d8b793"
"PANTONE P 26-3 U","26-3","#cfa57b"
