"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 10-10 C","10-10","#f6e2b7"
"PANTONE P 10-11 C","10-11","#f5dca4"
"PANTONE P 10-12 C","10-12","#f0d28c"
"PANTONE P 10-13 C","10-13","#eecb77"
"PANTONE P 10-14 C","10-14","#eac25d"
"PANTONE P 10-15 C","10-15","#e5b63e"
"PANTONE P 10-16 C","10-16","#e0ab05"
"PANTONE P 11-1 C","11-1","#f1e0bd"
"PANTONE P 11-2 C","11-2","#ecd7a8"
"PANTONE P 11-3 C","11-3","#e7cc93"
"PANTONE P 11-4 C","11-4","#e3c47b"
"PANTONE P 11-5 C","11-5","#dcb966"
"PANTONE P 11-6 C","11-6","#d5ae4c"
"PANTONE P 11-7 C","11-7","#d0a42f"
"PANTONE P 11-8 C","11-8","#c89a12"
"PANTONE P 11-9 C","11-9","#e9d8b3"
"PANTONE P 11-10 C","11-10","#e3ce9f"
"PANTONE P 11-11 C","11-11","#ddc387"
"PANTONE P 11-12 C","11-12","#d5b974"
"PANTONE P 11-13 C","11-13","#ceae5d"
"PANTONE P 11-14 C","11-14","#c6a24a"
"PANTONE P 11-15 C","11-15","#be9733"
"PANTONE P 11-16 C","11-16","#b38b19"
"PANTONE P 12-1 C","12-1","#e8dbbf"
"PANTONE P 12-2 C","12-2","#dfcea6"
"PANTONE P 12-3 C","12-3","#d5bf8f"
"PANTONE P 12-4 C","12-4","#cbb277"
"PANTONE P 12-5 C","12-5","#c3a763"
"PANTONE P 12-6 C","12-6","#b7984a"
"PANTONE P 12-7 C","12-7","#aa8934"
"PANTONE P 12-8 C","12-8","#9c7a1e"
"PANTONE P 12-9 C","12-9","#e1d3b6"
"PANTONE P 12-10 C","12-10","#d5c39c"
"PANTONE P 12-11 C","12-11","#cbb684"
"PANTONE P 12-12 C","12-12","#bfa76e"
"PANTONE P 12-13 C","12-13","#b39958"
"PANTONE P 12-14 C","12-14","#a58941"
"PANTONE P 12-15 C","12-15","#967a2e"
"PANTONE P 12-16 C","12-16","#876c20"
"PANTONE P 13-1 C","13-1","#e6ddd1"
"PANTONE P 13-2 C","13-2","#ded2c1"
"PANTONE P 13-3 C","13-3","#d3c5b0"
"PANTONE P 13-4 C","13-4","#cbbba2"
"PANTONE P 13-5 C","13-5","#c3b091"
"PANTONE P 13-6 C","13-6","#bba683"
"PANTONE P 13-7 C","13-7","#b39d76"
"PANTONE P 13-8 C","13-8","#ac956c"
"PANTONE P 13-9 C","13-9","#a18c66"
"PANTONE P 13-10 C","13-10","#978360"
"PANTONE P 13-11 C","13-11","#8e7c5b"
"PANTONE P 13-12 C","13-12","#867557"
"PANTONE P 13-13 C","13-13","#7e6e52"
"PANTONE P 13-14 C","13-14","#73654d"
"PANTONE P 13-15 C","13-15","#695d47"
"PANTONE P 13-16 C","13-16","#605642"
"PANTONE P 14-1 C","14-1","#fff0d9"
"PANTONE P 14-2 C","14-2","#ffe9c6"
"PANTONE P 14-3 C","14-3","#ffe3b3"
"PANTONE P 14-4 C","14-4","#ffda9a"
"PANTONE P 14-5 C","14-5","#fed180"
"PANTONE P 14-6 C","14-6","#fdc863"
"PANTONE P 14-7 C","14-7","#fcbb3d"
"PANTONE P 14-8 C","14-8","#faaf04"
"PANTONE P 14-9 C","14-9","#f8e3c4"
"PANTONE P 14-10 C","14-10","#f5dbb0"
"PANTONE P 14-11 C","14-11","#f3d39c"
"PANTONE P 14-12 C","14-12","#efca84"
"PANTONE P 14-13 C","14-13","#ecc06e"
"PANTONE P 14-14 C","14-14","#e9b553"
"PANTONE P 14-15 C","14-15","#e4a832"
"PANTONE P 14-16 C","14-16","#de9e11"
"PANTONE P 15-1 C","15-1","#f6e8cf"
"PANTONE P 15-2 C","15-2","#f0dbb7"
"PANTONE P 15-3 C","15-3","#ebd0a2"
"PANTONE P 15-4 C","15-4","#e5c488"
"PANTONE P 15-5 C","15-5","#dfb770"
"PANTONE P 15-6 C","15-6","#d8ab53"
"PANTONE P 15-7 C","15-7","#cf9c35"
"PANTONE P 15-8 C","15-8","#c88f18"
"PANTONE P 15-9 C","15-9","#e7d1ad"
"PANTONE P 15-10 C","15-10","#e2c79a"
"PANTONE P 15-11 C","15-11","#dbbc83"
"PANTONE P 15-12 C","15-12","#d5b170"
"PANTONE P 15-13 C","15-13","#cda65c"
"PANTONE P 15-14 C","15-14","#c49947"
"PANTONE P 15-15 C","15-15","#bc8d31"
"PANTONE P 15-16 C","15-16","#b3811c"
"PANTONE P 16-1 C","16-1","#e6d4b8"
"PANTONE P 16-2 C","16-2","#dcc69f"
"PANTONE P 16-3 C","16-3","#d4b887"
"PANTONE P 16-4 C","16-4","#c9aa71"
"PANTONE P 16-5 C","16-5","#bf9d5b"
"PANTONE P 16-6 C","16-6","#b58f45"
"PANTONE P 16-7 C","16-7","#a87f31"
"PANTONE P 16-8 C","16-8","#9c721f"
"PANTONE P 16-9 C","16-9","#ece1cf"
"PANTONE P 16-10 C","16-10","#dfcdaf"
"PANTONE P 16-11 C","16-11","#d2bb93"
"PANTONE P 16-12 C","16-12","#c3a979"
"PANTONE P 16-13 C","16-13","#b8995e"
"PANTONE P 16-14 C","16-14","#a78747"
"PANTONE P 16-15 C","16-15","#977430"
"PANTONE P 16-16 C","16-16","#866421"
"PANTONE P 17-1 C","17-1","#ffead0"
"PANTONE P 17-2 C","17-2","#fee2bc"
"PANTONE P 17-3 C","17-3","#fedcab"
"PANTONE P 17-4 C","17-4","#fdd192"
"PANTONE P 17-5 C","17-5","#fdc97d"
"PANTONE P 17-6 C","17-6","#fbbe60"
"PANTONE P 17-7 C","17-7","#fab241"
"PANTONE P 17-8 C","17-8","#f7a211"
"PANTONE P 17-9 C","17-9","#f4d9b4"
"PANTONE P 17-10 C","17-10","#f4d4a6"
"PANTONE P 17-11 C","17-11","#f0c890"
"PANTONE P 17-12 C","17-12","#eec17e"
"PANTONE P 17-13 C","17-13","#ebb768"
"PANTONE P 17-14 C","17-14","#e6ac52"
"PANTONE P 17-15 C","17-15","#e2a137"
"PANTONE P 17-16 C","17-16","#dc9218"
"PANTONE P 18-1 C","18-1","#f3dfc4"
"PANTONE P 18-2 C","18-2","#edd2ac"
"PANTONE P 18-3 C","18-3","#e9c797"
"PANTONE P 18-4 C","18-4","#e2b97e"
"PANTONE P 18-5 C","18-5","#ddae68"
"PANTONE P 18-6 C","18-6","#d7a14e"
"PANTONE P 18-7 C","18-7","#d09438"
"PANTONE P 18-8 C","18-8","#c6851c"
"PANTONE P 18-9 C","18-9","#e5cba7"
"PANTONE P 18-10 C","18-10","#dfc092"
"PANTONE P 18-11 C","18-11","#d9b47c"
"PANTONE P 18-12 C","18-12","#d2a86a"
"PANTONE P 18-13 C","18-13","#c99b54"
"PANTONE P 18-14 C","18-14","#c08e41"
"PANTONE P 18-15 C","18-15","#ba8330"
"PANTONE P 18-16 C","18-16","#b1781f"
"PANTONE P 19-1 C","19-1","#dabe97"
"PANTONE P 19-2 C","19-2","#d1b283"
"PANTONE P 19-3 C","19-3","#c9a671"
"PANTONE P 19-4 C","19-4","#c29a60"
"PANTONE P 19-5 C","19-5","#b88e4d"
"PANTONE P 19-6 C","19-6","#ad813c"
"PANTONE P 19-7 C","19-7","#a3742d"
"PANTONE P 19-8 C","19-8","#9a6a21"
"PANTONE P 19-9 C","19-9","#e8d8c4"
"PANTONE P 19-10 C","19-10","#dac5a6"
"PANTONE P 19-11 C","19-11","#cdb28b"
"PANTONE P 19-12 C","19-12","#c1a273"
"PANTONE P 19-13 C","19-13","#b5915b"
"PANTONE P 19-14 C","19-14","#a47e43"
"PANTONE P 19-15 C","19-15","#956d30"
"PANTONE P 19-16 C","19-16","#855e22"
"PANTONE P 20-1 C","20-1","#fedcb4"
"PANTONE P 20-2 C","20-2","#fdd4a4"
"PANTONE P 20-3 C","20-3","#fccb90"
"PANTONE P 20-4 C","20-4","#fbc27c"
"PANTONE P 20-5 C","20-5","#faba68"
"PANTONE P 20-6 C","20-6","#f9af52"
"PANTONE P 20-7 C","20-7","#f7a238"
"PANTONE P 20-8 C","20-8","#f49519"
